ArraySize,Cutoff,ThreadCount,RunNumber,ExecutionTime(ms)
1000000,1000,7,1,311
1000000,1000,7,2,61
1000000,1000,7,3,76
1000000,1000,7,4,72
1000000,1000,7,5,81
1000000,5000,7,1,94
1000000,5000,7,2,46
1000000,5000,7,3,53
1000000,5000,7,4,41
1000000,5000,7,5,41
1000000,10000,7,1,174
1000000,10000,7,2,88
1000000,10000,7,3,48
1000000,10000,7,4,46
1000000,10000,7,5,41
1000000,50000,7,1,72
1000000,50000,7,2,38
1000000,50000,7,3,49
1000000,50000,7,4,81
1000000,50000,7,5,38
1000000,100000,7,1,37
1000000,100000,7,2,40
1000000,100000,7,3,31
1000000,100000,7,4,30
1000000,100000,7,5,31
2000000,1000,7,1,100
2000000,1000,7,2,117
2000000,1000,7,3,160
2000000,1000,7,4,98
2000000,1000,7,5,103
2000000,5000,7,1,95
2000000,5000,7,2,126
2000000,5000,7,3,83
2000000,5000,7,4,78
2000000,5000,7,5,78
2000000,10000,7,1,76
2000000,10000,7,2,84
2000000,10000,7,3,104
2000000,10000,7,4,91
2000000,10000,7,5,74
2000000,50000,7,1,73
2000000,50000,7,2,75
2000000,50000,7,3,68
2000000,50000,7,4,68
2000000,50000,7,5,64
2000000,100000,7,1,64
2000000,100000,7,2,68
2000000,100000,7,3,69
2000000,100000,7,4,64
2000000,100000,7,5,67
4000000,1000,7,1,257
4000000,1000,7,2,240
4000000,1000,7,3,354
4000000,1000,7,4,220
4000000,1000,7,5,309
4000000,5000,7,1,208
4000000,5000,7,2,279
4000000,5000,7,3,296
4000000,5000,7,4,275
4000000,5000,7,5,278
4000000,10000,7,1,182
4000000,10000,7,2,219
4000000,10000,7,3,162
4000000,10000,7,4,149
4000000,10000,7,5,161
4000000,50000,7,1,160
4000000,50000,7,2,154
4000000,50000,7,3,166
4000000,50000,7,4,176
4000000,50000,7,5,163
4000000,100000,7,1,159
4000000,100000,7,2,159
4000000,100000,7,3,168
4000000,100000,7,4,139
4000000,100000,7,5,174
8000000,1000,7,1,477
8000000,1000,7,2,430
8000000,1000,7,3,443
8000000,1000,7,4,730
8000000,1000,7,5,741
8000000,5000,7,1,455
8000000,5000,7,2,439
8000000,5000,7,3,490
8000000,5000,7,4,467
8000000,5000,7,5,568
8000000,10000,7,1,338
8000000,10000,7,2,392
8000000,10000,7,3,381
8000000,10000,7,4,408
8000000,10000,7,5,378
8000000,50000,7,1,343
8000000,50000,7,2,336
8000000,50000,7,3,306
8000000,50000,7,4,330
8000000,50000,7,5,328
8000000,100000,7,1,300
8000000,100000,7,2,307
8000000,100000,7,3,333
8000000,100000,7,4,303
8000000,100000,7,5,327
